sample,gc_fidelity,gc_infidelity,gc_deletion_auc,gc_insertion_auc,gc_time_s,li_fidelity,li_infidelity,li_deletion_auc,li_insertion_auc,li_time_s
0,nan,96.85994194431461,0.0006668528054433409,0.010320222284644841,14.924,-0.9218745501169812,559.6142765254757,0.0006801939409342595,0.012787491641938686,455.813
1,nan,2.532697005244722e-11,0.0017206582531798633,0.0012626233117771335,11.675,-0.959854863441659,697.1347611364467,0.0003361509880051017,0.002143810712004779,462.812
2,nan,2.1312056426169187e-10,0.0006898245701449922,0.001552561741118552,11.932,-0.9836849482534832,409.89905529834135,0.00030042826983844867,0.0015645867621060462,466.635
3,nan,1.4782102389365726e-10,0.003572647726105061,0.005067380823311395,11.85,-0.9378028656054874,317.6756885066482,0.0005155045459105167,0.007565825310302898,463.497
4,nan,8.852863902023001e-11,0.0019083484636212237,0.0028335420953226275,11.697,-0.925078008202906,202.66285418371083,0.00035150429830537177,0.0034424312638293487,473.92
MEAN,nan,19.37199,0.00171,0.00421,12.4156,-0.94566,437.39733,0.00044,0.0055,464.5354
