sample,gc_fidelity,gc_infidelity,gc_deletion_auc,gc_insertion_auc,gc_time_s,li_fidelity,li_infidelity,li_deletion_auc,li_insertion_auc,li_time_s
0,nan,96.44823138037091,0.0006668648587947245,0.010126052435953171,17.583,-0.9218745949897234,559.608349542297,0.0006801939409342595,0.012787491641938686,342.632
1,nan,2.532697005244722e-11,0.0017206582531798633,0.0012626233117771335,13.201,-0.9598548761096893,697.0840077144671,0.0003361509880051017,0.002143810712004779,329.3
2,-0.9277593132762627,1325.2014708347936,0.00029467936401488264,0.001474145478277933,13.089,-0.9836849765684134,409.8676718914814,0.00030042826983844867,0.0015645867621060462,306.052
3,nan,1.4782102389365726e-10,0.003572647726105061,0.005067380823311395,12.613,-0.9378029664881941,317.667136623256,0.0005155045459105167,0.007565825310302898,314.298
4,nan,8.852863902023001e-11,0.0019083484636212237,0.0028335420953226275,13.747,-0.925078025509768,202.65639973353217,0.00035150429830537177,0.0034424312638293487,325.525
MEAN,nan,284.32994,0.00163,0.00415,14.0466,-0.94566,437.37671,0.00044,0.0055,323.5614
